City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
111,Kutum,SD,14.2,24.6667,76.68,24,0,10.27,clear sky,2021-11-04 19:14:06
112,Talnakh,RU,69.4865,88.3972,22.15,97,100,14.79,snow,2021-11-04 19:14:07
113,Hamilton,US,39.1834,-84.5333,53.15,45,40,3.0,scattered clouds,2021-11-04 19:14:07
114,Mecca,SA,21.4267,39.8261,80.47,60,0,2.39,clear sky,2021-11-04 19:09:28
115,Zhigansk,RU,66.7697,123.3711,-14.12,95,16,8.84,few clouds,2021-11-04 19:13:01
116,Rapar,IN,23.5667,70.6333,79.07,30,12,4.09,few clouds,2021-11-04 19:14:07
117,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,73,75,18.41,broken clouds,2021-11-04 19:14:08
118,Praia Da Vitoria,PT,38.7333,-27.0667,68.76,89,100,19.8,overcast clouds,2021-11-04 19:14:08
119,Thai Binh,VN,20.45,106.3333,77.0,94,34,6.44,scattered clouds,2021-11-04 19:14:08
120,Pareora,NZ,-44.4871,171.2132,44.85,81,0,2.04,clear sky,2021-11-04 19:14:09
121,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,8.05,broken clouds,2021-11-04 19:14:09
122,Baijiantan,CN,45.6333,85.1833,17.28,50,0,9.15,clear sky,2021-11-04 19:14:09
123,Saint George,US,37.1041,-113.5841,77.47,34,1,1.01,clear sky,2021-11-04 19:14:09
124,Yurla,RU,59.3259,54.3223,30.94,91,100,13.13,light snow,2021-11-04 19:14:10
125,Hay River,CA,60.8156,-115.7999,40.05,64,36,8.66,scattered clouds,2021-11-04 19:14:10
126,Yanam,IN,16.7333,82.2167,74.62,94,97,6.46,overcast clouds,2021-11-04 19:14:10
127,Ammokhorion,GR,40.7833,21.4833,55.26,87,100,5.26,overcast clouds,2021-11-04 19:14:11
128,Beringovskiy,RU,63.05,179.3167,-3.82,89,27,7.9,scattered clouds,2021-11-04 19:14:11
129,Mwaro,BI,-3.5,29.6667,57.61,88,12,1.39,few clouds,2021-11-04 19:14:11
130,Saint Anthony,US,45.0205,-93.218,53.65,62,20,3.0,few clouds,2021-11-04 19:14:12
131,Ocean City,US,39.2776,-74.5746,54.01,57,100,11.01,overcast clouds,2021-11-04 19:14:12
132,Mersing,MY,2.4312,103.8405,77.7,89,99,2.01,overcast clouds,2021-11-04 19:14:12
133,Suslovo,RU,56.2167,88.1167,8.85,82,100,15.5,overcast clouds,2021-11-04 19:14:13
134,Tura,IN,25.5198,90.2201,62.58,88,74,3.31,broken clouds,2021-11-04 19:14:13
135,Geraldton,AU,-28.7667,114.6,64.81,63,90,12.66,overcast clouds,2021-11-04 19:14:13
136,Avarua,CK,-21.2078,-159.775,78.85,65,27,5.75,scattered clouds,2021-11-04 19:15:13
137,Cherskiy,RU,68.75,161.3,-5.49,99,99,6.04,overcast clouds,2021-11-04 19:15:14
138,Ciudad Del Maiz,MX,22.4,-99.6,68.74,70,94,7.72,overcast clouds,2021-11-04 19:15:14
139,Tari,NG,12.4086,4.4914,87.62,27,17,6.69,few clouds,2021-11-04 19:15:14
140,Broken Hill,AU,-31.95,141.4333,60.89,54,0,7.94,clear sky,2021-11-04 19:15:15
141,Jamestown,US,42.097,-79.2353,44.53,53,90,3.0,overcast clouds,2021-11-04 19:15:15
142,Dunedin,NZ,-45.8742,170.5036,50.05,69,42,2.19,scattered clouds,2021-11-04 19:15:15
143,Chokurdakh,RU,70.6333,147.9167,-12.55,97,83,7.38,broken clouds,2021-11-04 19:15:16
144,Cabo San Lucas,MX,22.8909,-109.9124,89.62,48,1,3.0,clear sky,2021-11-04 19:12:39
145,Ponta Do Sol,PT,32.6667,-17.1,69.71,63,63,7.34,broken clouds,2021-11-04 19:11:06
146,Kostino,RU,58.9097,53.2691,30.15,88,100,13.4,overcast clouds,2021-11-04 19:15:16
147,Pacific Grove,US,36.6177,-121.9166,67.95,80,1,4.0,clear sky,2021-11-04 19:15:16
148,Lompoc,US,34.6391,-120.4579,79.11,66,1,12.66,clear sky,2021-11-04 19:15:17
149,Faranah,GN,10.0404,-10.7434,77.0,72,24,2.46,few clouds,2021-11-04 19:15:17
150,Hazorasp,UZ,41.3194,61.0742,26.44,24,0,17.96,clear sky,2021-11-04 19:15:17
151,Araouane,ML,18.9048,-3.5265,87.64,15,0,3.11,clear sky,2021-11-04 19:10:39
152,Mareeba,AU,-17.0,145.4333,70.52,95,21,2.44,few clouds,2021-11-04 19:15:17
153,Kungurtug,RU,50.5994,97.5228,-7.31,89,64,0.6,broken clouds,2021-11-04 19:15:18
154,Vila Velha,BR,-20.3297,-40.2925,75.15,83,75,13.8,broken clouds,2021-11-04 19:15:18
155,Terney,RU,45.0503,136.6092,41.54,81,18,5.48,few clouds,2021-11-04 19:15:18
