,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
66,Salalah,OM,80.69,17.0151,54.0924,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
67,Castro,BR,73.11,-24.7911,-50.0119,broken clouds,CHACARA BAILLY
70,Bowen,AU,74.57,-20.0167,148.2333,broken clouds,Castle Motor Lodge Motel
71,Plettenberg Bay,ZA,60.24,-34.0527,23.3716,few clouds,Thanda Vista B&B
76,Cidreira,BR,71.38,-30.1811,-50.2056,broken clouds,Hotel Castelo
79,Kalmunai,LK,77.38,7.4167,81.8167,heavy intensity rain,VS Villa
80,Manado,ID,75.97,1.487,124.8455,light rain,Aryaduta Hotel
82,Alofi,NU,77.7,-19.0595,-169.9187,overcast clouds,Taloa Heights
84,Camacha,PT,65.16,33.0833,-16.3333,scattered clouds,Hotel Porto Santo & Spa
85,Maua,BR,82.11,-23.6678,-46.4614,clear sky,Hotel Capriccio Mauá
88,Nabire,ID,75.83,-3.3667,135.4833,overcast clouds,Hotel Nusantara Nabire
91,Bulolo,PG,67.37,-7.2,146.65,overcast clouds,Pine Lodge Bulolo
93,Meulaboh,ID,76.69,4.1363,96.1285,overcast clouds,Kost Pria
94,Cape Town,ZA,63.12,-33.9258,18.4232,overcast clouds,Southern Sun Waterfront Cape Town
96,Katherine,AU,79.12,-14.4667,132.2667,overcast clouds,Pine Tree Motel
97,Puerto Ayora,EC,76.96,-0.7393,-90.3518,scattered clouds,Finch Bay Galapagos Hotel
98,Comodoro Rivadavia,AR,67.86,-45.8667,-67.5,clear sky,Austral Hotel
99,Iquique,CL,68.04,-20.2208,-70.1431,clear sky,Backpacker`s Hostel Iquique
100,Caravelas,BR,79.57,-17.7125,-39.2481,scattered clouds,Pousada dos Navegantes
101,Taltal,CL,64.38,-25.4,-70.4833,few clouds,Residencial Karime
103,Kudahuvadhoo,MV,82.69,2.6708,72.8944,overcast clouds,Niyama Private Islands Maldives
106,Boende,CD,72.41,-0.2167,20.8667,broken clouds,
108,Ribeira Grande,PT,70.2,38.5167,-28.7,broken clouds,Quinta da Meia Eira
110,Santa Rosa,PH,82.11,14.3122,121.1114,overcast clouds,Erlyn’s Sta Rosa City Home
111,Kutum,SD,76.68,14.2,24.6667,clear sky,Dibbo areaمنطقة دبو
114,Mecca,SA,80.47,21.4267,39.8261,clear sky,"Makkah Clock Royal Tower, A Fairmont Hotel"
116,Rapar,IN,79.07,23.5667,70.6333,few clouds,Dharamshi Bapa’s Home
117,Puerto Del Rosario,ES,71.35,28.5004,-13.8627,broken clouds,Hotel JM Puerto del Rosario
118,Praia Da Vitoria,PT,68.76,38.7333,-27.0667,overcast clouds,Hotel Branco I
119,Thai Binh,VN,77.0,20.45,106.3333,scattered clouds,Sweden Hotel
123,Saint George,US,77.47,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
126,Yanam,IN,74.62,16.7333,82.2167,overcast clouds,The Regency Hotel
132,Mersing,MY,77.7,2.4312,103.8405,overcast clouds,Timotel Hotel
134,Tura,IN,62.58,25.5198,90.2201,broken clouds,Hotel RIKMAN Continental
135,Geraldton,AU,64.81,-28.7667,114.6,overcast clouds,Broadwater Mariner Resort
136,Avarua,CK,78.85,-21.2078,-159.775,scattered clouds,Paradise Inn
138,Ciudad Del Maiz,MX,68.74,22.4,-99.6,overcast clouds,Hotel Casona del General
140,Broken Hill,AU,60.89,-31.95,141.4333,clear sky,Royal Exchange Hotel
145,Ponta Do Sol,PT,69.71,32.6667,-17.1,broken clouds,Hotel do Campo
147,Pacific Grove,US,67.95,36.6177,-121.9166,clear sky,Lovers Point Inn
148,Lompoc,US,79.11,34.6391,-120.4579,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
149,Faranah,GN,77.0,10.0404,-10.7434,few clouds,Chez mon oncle
152,Mareeba,AU,70.52,-17.0,145.4333,few clouds,Trinity Plains Tourist Park
154,Vila Velha,BR,75.15,-20.3297,-40.2925,broken clouds,Quality Suites Vila Velha
158,Miranda,CO,82.65,3.2499,-76.2281,broken clouds,unidiversidad organica la utopia
159,Tacub,PH,74.97,8.1875,124.1081,overcast clouds,lola patring
160,East London,ZA,67.86,-33.0153,27.9116,few clouds,Tu Casa
161,Half Moon Bay,US,68.05,37.4636,-122.4286,mist,"The Ritz-Carlton, Half Moon Bay"
165,Karratha,AU,77.04,-20.7377,116.8463,broken clouds,ibis Styles Karratha
172,Batticaloa,LK,78.04,7.7102,81.6924,moderate rain,Grand Star Guest House
173,Airai,TL,61.66,-8.9266,125.4092,overcast clouds,Juvinal Martin
175,Kirakira,SB,78.94,-10.4544,161.9205,overcast clouds,SanBiz Lodge
176,Mawlaik,MM,68.63,23.6333,94.4167,scattered clouds,AKZ Guest House
182,San Policarpo,PH,80.83,12.1791,125.5072,overcast clouds,Agapita M. Nicart
183,Kavieng,PG,82.27,-2.5744,150.7967,overcast clouds,Nusa Island Retreat
184,Palmas De Monte Alto,BR,72.77,-14.2672,-43.1619,heavy intensity rain,RAVENA AUTO POSTO LTDA
186,Kununurra,AU,78.78,-15.7667,128.7333,broken clouds,Hotel Kununurra
187,Dakar,SN,83.28,14.6937,-17.4441,clear sky,Redface Studios Meublés
188,Isiro,CD,65.52,2.7739,27.616,light rain,Guest House Hewa Bora
193,Rapid Valley,US,70.03,44.0625,-103.1463,clear sky,Fairfield Inn & Suites by Marriott Rapid City
196,Kalangala,UG,69.48,-0.3089,32.225,few clouds,Ssese Habitat Resort
197,Los Llanos De Aridane,ES,68.13,28.6585,-17.9182,broken clouds,Valle Aridane
198,Bafang,CM,64.76,5.1563,10.1788,broken clouds,Motel Mary-Alex
200,Bambous Virieux,MU,71.85,-20.3428,57.7575,few clouds,Casa Tia Villa
201,Ambunti,PG,73.54,-4.2365,142.8448,overcast clouds,Ambunti Lodge
203,Umm Lajj,SA,82.06,25.0213,37.2685,clear sky,Moon light Furnished Units
204,Jian,CN,66.63,27.1172,114.9793,light rain,Luling International Hotel
206,Kasongo,CD,68.11,-4.45,26.6667,moderate rain,Guest Hôtel
207,Jiazi,CN,73.36,22.8779,116.067,overcast clouds,Hotel Jin Hao
208,Golden,US,70.09,39.7555,-105.2211,few clouds,"The Golden Hotel, Ascend Hotel Collection"
209,Sabha,LY,79.39,27.0377,14.4283,clear sky,Foundation Taaj Asala for Historical Research and Archeology
211,Gat,IL,71.4,31.61,34.7642,clear sky,OlusHome
212,Chuy,UY,72.45,-33.6971,-53.4616,broken clouds,Nuevo Hotel Plaza
213,Naze,JP,65.35,28.3667,129.4833,clear sky,オーベルジュ・アガルイ
