,City,Country,Max Temp,Lat,Lng,Description,Hotel Name
477,Nchelenge,ZM,75.65,-9.3451,28.734,scattered clouds,KD Travellers Home
479,Japura,ID,73.69,-0.3167,102.35,overcast clouds,Rumah mbah Jamah
481,Batemans Bay,AU,64.2,-35.7167,150.1833,overcast clouds,Batemans Bay Marina Resort
486,Huarmey,PE,69.6,-10.0681,-78.1522,few clouds,Hotel Miramar
489,Sangueya,GN,78.24,10.7,-14.3667,light rain,
490,Thinadhoo,MV,83.55,0.5333,72.9333,overcast clouds,
491,Vegueta,PE,68.04,-11.0231,-77.6431,few clouds,Hospedaje Gavión
492,Kieta,PG,80.1,-6.2167,155.6333,overcast clouds,Uruna Bay Retreat
493,Nsanje,MW,81.16,-16.92,35.262,clear sky,Nsanje Discovery Lodge
495,Ridgecrest,US,77.02,35.6225,-117.6709,clear sky,SpringHill Suites by Marriott Ridgecrest
496,Rampur,IN,66.29,28.8167,79.0333,clear sky,OYO 38687 Hotel Shivansh
498,Bumba,CD,72.9,2.1833,22.4667,light rain,Père Carlos
499,Valparaiso,CL,73.04,-33.0393,-71.6273,clear sky,Hotel Ultramar
502,Rocha,UY,74.97,-34.4833,-54.3333,overcast clouds,Beleza Pura B&B
504,Akyab,MM,76.19,20.15,92.9,overcast clouds,Hotel Memory
505,Malinta,PH,77.59,12.3022,123.5575,light rain,La Manok Island
509,Takoradi,GH,79.34,4.8845,-1.7554,clear sky,Raybow International Hotel
510,Moranbah,AU,66.11,-22.0016,148.0466,clear sky,Direct Hotels - Monterey Moranbah
512,Tabuk,PH,70.56,17.4189,121.4443,scattered clouds,Golden Berries Hotel and Convention
513,Cam Ranh,VN,78.76,11.9214,109.1591,few clouds,OYO 598 Peony Hotel
514,Dezful,IR,78.08,32.3811,48.4058,few clouds,سالن پیرایش امید
516,Chongoyape,PE,70.77,-6.6406,-79.3892,overcast clouds,Hostal Mulato & Chaparri
518,Sal Rei,CV,80.8,16.1833,-22.9167,clear sky,Marine Club Beach Resort
523,Coruripe,BR,83.16,-10.1256,-36.1756,scattered clouds,Pousada e Hotel Litoral Sul
525,Vavuniya,LK,73.65,8.7514,80.4971,overcast clouds,Thampa Hotel
527,Beroroha,MG,81.5,-21.6667,45.1667,clear sky,
528,Sumter,US,78.3,28.7086,-82.0831,overcast clouds,Paradise Oaks RV Resort
529,Samfya,ZM,77.05,-11.3649,29.5565,clear sky,Chita Lodge Samfya
531,Iralaya,HN,84.29,15.0,-83.2333,broken clouds,Iglesia morava renovada
532,Road Town,VG,84.29,18.4167,-64.6167,scattered clouds,"ZINGARA 76ft Catamaran, full crew-all included"
533,Blythe,US,81.05,33.6103,-114.5964,clear sky,Rodeway Inn & Suites
534,Torit,SS,75.88,4.4133,32.5678,broken clouds,Diplomat Guest House
536,Mana,GF,84.72,5.6592,-53.7767,overcast clouds,LE SAMANA
545,Rio Grande,BR,82.51,-32.035,-52.0986,scattered clouds,Hotel Atlântico Rio Grande
551,Summerville,US,65.98,33.0185,-80.1757,clear sky,Sleep Inn Summerville-Charleston
552,Antofagasta,CL,65.48,-23.65,-70.4,clear sky,"Holiday Inn Express Antofagasta, an IHG Hotel"
553,Marsa Matruh,EG,73.29,31.3525,27.2453,clear sky,Beau Site
554,Port Blair,IN,80.64,11.6667,92.75,scattered clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
555,Tezu,IN,61.99,27.9167,96.1667,clear sky,Circuit House
557,Pundaguitan,PH,82.99,6.3711,126.1689,few clouds,Leonardo Family Beach House 1
560,Itarema,BR,84.9,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
562,Diban,SY,71.08,35.0365,40.5167,clear sky,مساكن الشرطة بمدينة ذيبان
566,Aguas Vermelhas,BR,71.47,-15.7472,-41.46,overcast clouds,
569,Ahuimanu,US,80.85,21.4447,-157.8378,few clouds,Paradise Bay Resort
571,Eyl,SO,78.26,7.9803,49.8164,scattered clouds,Amiin Hotel
575,Matara,LK,76.89,5.9485,80.5353,broken clouds,Amaloh Boutique Resort
576,Yeppoon,AU,65.98,-23.1333,150.7333,broken clouds,Villa Mar Colina
577,Jalandhar,IN,66.97,31.3256,75.5792,clear sky,Hotel Maharaja Residency
578,Bosaso,SO,78.15,11.2842,49.1816,clear sky,Red Sea Hotel
580,Auki,SB,75.69,-8.7676,160.7034,overcast clouds,Auki Motel
583,Jalu,LY,80.2,29.0331,21.5482,clear sky,صاحبة الفخامة
588,Mahwa,IN,71.1,27.0471,76.9288,clear sky,Hotel Sagar Sangam - By Pt. Pandit Ji
589,Laela,TZ,75.25,-8.5667,32.05,broken clouds,
591,Rawson,AR,64.83,-43.3002,-65.1023,scattered clouds,Hosteria Sampedro
592,Buraydah,SA,75.65,26.326,43.975,clear sky,فندق راحة السلام
593,Soyo,AO,78.75,-6.1349,12.3689,broken clouds,Hotel Mpampa
595,Sattahip,TH,84.97,12.6664,100.9007,few clouds,Pob Choke Residences ( พบโชคเรดซิเด้นท์ )
596,Tamandare,BR,81.95,-8.7597,-35.1047,overcast clouds,Pousada 100 Passos
599,Kavaratti,IN,82.06,10.5669,72.642,overcast clouds,Hotels in Lakshadweep Islands
603,Sur,OM,75.76,22.5667,59.5289,clear sky,Sur Plaza Hotel
604,Quatre Cocos,MU,71.71,-20.2078,57.7625,clear sky,Sunrise Attitude Hotel
609,Berbera,SO,82.76,10.4396,45.0143,clear sky,IBCO REAL ESTATE PROPERTY
610,Tabou,CI,79.0,4.423,-7.3528,clear sky,hotêl doufoulougou
611,Ugoofaaru,MV,82.15,5.6667,73.0,overcast clouds,Ungoofaaru Inn
615,Port Macquarie,AU,64.36,-31.4333,152.9167,overcast clouds,Rydges Port Macquarie
616,Shenjiamen,CN,67.41,29.9576,122.298,overcast clouds,Jinjiang Inn Zhoushan Putuo Shenjiamen
618,Rabo De Peixe,PT,68.27,37.8,-25.5833,scattered clouds,Quinta das Giestas
620,Pignon,HT,82.13,19.3333,-72.1167,scattered clouds,Le Manoir de Pignon
621,Virar,IN,82.49,19.4667,72.8,light rain,Go Firne
622,Ahtopol,BG,61.27,42.1,27.95,clear sky,Agata Beach Hotel
623,Nosy Varika,MG,74.5,-20.5833,48.5333,clear sky,Hotel Volazara
625,Abu Dhabi,AE,82.42,24.4667,54.3667,clear sky,Ramee Garden Hotel Apartments
631,Marau,BR,84.15,-28.4492,-52.2,few clouds,Hotel Pousada Tordilho Negro
634,Tecoanapa,MX,83.88,16.5167,-98.75,overcast clouds,Hotel Manglares
644,General Roca,AR,64.8,-39.0333,-67.5833,clear sky,Hotel y Casino del Río General Roca
649,Mogadishu,SO,79.39,2.0371,45.3438,overcast clouds,Hotel Juba
650,Kloulklubed,PW,77.5,7.0419,134.2556,overcast clouds,Storyboard Beach Resort
653,Flinders,AU,64.18,-34.5833,150.8552,light rain,Shellharbour Resort & Conference Centre
656,Ilo,PE,70.66,-17.6394,-71.3375,few clouds,Torreblanca Hotel
659,Harur,IN,71.76,12.0667,78.5,overcast clouds,A.T.M.V Lodge
660,Port-Gentil,GA,80.56,-0.7193,8.7815,broken clouds,Fengshui Residence
662,Mehran,IR,72.88,33.1222,46.1646,clear sky,بوتیک زنانه بهار
665,Nouadhibou,MR,71.58,20.931,-17.0347,broken clouds,El Medina
666,Belmonte,BR,79.3,-15.8631,-38.8828,broken clouds,Pousada Monte Carmelo O Pão
667,Varna,BG,62.24,43.2167,27.9167,clear sky,Hotel Gran Ivan
669,Estelle,US,66.99,29.8458,-90.1067,overcast clouds,Boomtown Casino & Hotel New Orleans
674,Riverton,US,69.8,40.5219,-111.9391,clear sky,Ramada by Wyndham Draper
675,Uyuni,BO,67.1,-20.4597,-66.825,scattered clouds,Hostal La Magia de Uyuni
677,Cizre,TR,69.39,37.3272,42.1903,clear sky,Divan Otel Cizre / Şırnak
678,Biloela,AU,62.94,-24.4167,150.5,broken clouds,Biloela Silo Motor Inn
